                                                                                                                                                                    
{'loss': 2.7772, 'grad_norm': 0.48031294345855713, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 2.3646, 'grad_norm': 0.60601806640625, 'learning_rate': 0.0001959183673469388, 'epoch': 0.27}
{'loss': 2.2121, 'grad_norm': 0.7395439743995667, 'learning_rate': 0.00019551020408163265, 'epoch': 0.29}
{'loss': 2.3024, 'grad_norm': 0.7442313432693481, 'learning_rate': 0.00019510204081632656, 'epoch': 0.3}
{'loss': 2.4115, 'grad_norm': 0.6050243377685547, 'learning_rate': 0.00019469387755102042, 'epoch': 0.31}
{'loss': 2.1076, 'grad_norm': 0.6579338312149048, 'learning_rate': 0.0001942857142857143, 'epoch': 0.33}
{'loss': 2.3708, 'grad_norm': 0.7303187847137451, 'learning_rate': 0.00019387755102040816, 'epoch': 0.34}
{'loss': 2.2868, 'grad_norm': 0.6351395845413208, 'learning_rate': 0.00019346938775510205, 'epoch': 0.35}
{'loss': 2.3307, 'grad_norm': 0.6433790922164917, 'learning_rate': 0.00019306122448979593, 'epoch': 0.37}
{'loss': 2.3007, 'grad_norm': 0.7247152328491211, 'learning_rate': 0.0001926530612244898, 'epoch': 0.38}
{'loss': 2.3081, 'grad_norm': 0.6972607970237732, 'learning_rate': 0.00019224489795918368, 'epoch': 0.39}
{'loss': 2.2423, 'grad_norm': 0.6652581095695496, 'learning_rate': 0.00019183673469387756, 'epoch': 0.41}
{'loss': 2.2475, 'grad_norm': 0.5604512691497803, 'learning_rate': 0.00019142857142857145, 'epoch': 0.42}
{'loss': 2.1397, 'grad_norm': 0.6593596339225769, 'learning_rate': 0.0001910204081632653, 'epoch': 0.44}
{'loss': 2.2674, 'grad_norm': 0.5280131697654724, 'learning_rate': 0.0001906122448979592, 'epoch': 0.45}
{'loss': 2.2741, 'grad_norm': 0.5890172719955444, 'learning_rate': 0.00019020408163265305, 'epoch': 0.46}
{'loss': 2.2529, 'grad_norm': 0.6814174652099609, 'learning_rate': 0.00018979591836734697, 'epoch': 0.48}
{'loss': 2.3776, 'grad_norm': 0.5784182548522949, 'learning_rate': 0.00018938775510204083, 'epoch': 0.49}
{'loss': 2.3801, 'grad_norm': 0.6328547596931458, 'learning_rate': 0.0001889795918367347, 'epoch': 0.5}
{'loss': 2.1955, 'grad_norm': 0.6448401808738708, 'learning_rate': 0.00018857142857142857, 'epoch': 0.52}
{'loss': 2.2625, 'grad_norm': 0.6330718994140625, 'learning_rate': 0.00018816326530612246, 'epoch': 0.53}
{'loss': 2.3828, 'grad_norm': 0.6440950632095337, 'learning_rate': 0.00018775510204081634, 'epoch': 0.54}
{'loss': 2.3414, 'grad_norm': 0.6066471338272095, 'learning_rate': 0.00018734693877551023, 'epoch': 0.56}
{'loss': 2.2024, 'grad_norm': 0.6035315990447998, 'learning_rate': 0.0001869387755102041, 'epoch': 0.57}
{'loss': 2.1433, 'grad_norm': 0.7035108804702759, 'learning_rate': 0.00018653061224489797, 'epoch': 0.59}
{'loss': 2.2545, 'grad_norm': 0.6115224957466125, 'learning_rate': 0.00018612244897959183, 'epoch': 0.6}
{'loss': 2.1762, 'grad_norm': 0.7165274620056152, 'learning_rate': 0.00018571428571428572, 'epoch': 0.61}
{'loss': 2.0521, 'grad_norm': 0.7298779487609863, 'learning_rate': 0.0001853061224489796, 'epoch': 0.63}
{'loss': 2.2662, 'grad_norm': 0.7080939412117004, 'learning_rate': 0.00018489795918367346, 'epoch': 0.64}
{'loss': 2.2365, 'grad_norm': 0.5619983077049255, 'learning_rate': 0.00018448979591836735, 'epoch': 0.65}
{'loss': 1.9975, 'grad_norm': 0.6720183491706848, 'learning_rate': 0.00018408163265306123, 'epoch': 0.67}
{'loss': 2.0474, 'grad_norm': 0.6982401609420776, 'learning_rate': 0.00018367346938775512, 'epoch': 0.68}
{'loss': 2.342, 'grad_norm': 0.7767011523246765, 'learning_rate': 0.00018326530612244898, 'epoch': 0.69}
{'loss': 2.2074, 'grad_norm': 0.6311184763908386, 'learning_rate': 0.00018285714285714286, 'epoch': 0.71}
{'loss': 2.1852, 'grad_norm': 0.7255127429962158, 'learning_rate': 0.00018244897959183672, 'epoch': 0.72}
{'loss': 2.358, 'grad_norm': 0.6720588803291321, 'learning_rate': 0.00018204081632653064, 'epoch': 0.73}
{'loss': 1.9395, 'grad_norm': 0.6567562222480774, 'learning_rate': 0.0001816326530612245, 'epoch': 0.75}
{'loss': 2.1767, 'grad_norm': 0.7029550671577454, 'learning_rate': 0.00018122448979591838, 'epoch': 0.76}
{'loss': 2.0745, 'grad_norm': 0.5914700031280518, 'learning_rate': 0.00018081632653061224, 'epoch': 0.78}
{'loss': 2.0675, 'grad_norm': 0.5804728865623474, 'learning_rate': 0.00018040816326530615, 'epoch': 0.79}
{'loss': 2.2473, 'grad_norm': 0.592159628868103, 'learning_rate': 0.00018, 'epoch': 0.8}
{'loss': 2.2375, 'grad_norm': 0.7475691437721252, 'learning_rate': 0.0001795918367346939, 'epoch': 0.82}
{'loss': 2.0936, 'grad_norm': 0.7239120006561279, 'learning_rate': 0.00017918367346938776, 'epoch': 0.83}
{'loss': 2.0893, 'grad_norm': 0.6762058138847351, 'learning_rate': 0.00017877551020408164, 'epoch': 0.84}
{'loss': 2.1003, 'grad_norm': 0.6662519574165344, 'learning_rate': 0.00017836734693877553, 'epoch': 0.86}
{'loss': 2.3425, 'grad_norm': 0.7452980279922485, 'learning_rate': 0.0001779591836734694, 'epoch': 0.87}
{'loss': 1.9514, 'grad_norm': 0.7955225110054016, 'learning_rate': 0.00017755102040816327, 'epoch': 0.88}
{'loss': 2.2046, 'grad_norm': 0.7512691020965576, 'learning_rate': 0.00017714285714285713, 'epoch': 0.9}
{'loss': 2.2158, 'grad_norm': 0.7334686517715454, 'learning_rate': 0.00017673469387755104, 'epoch': 0.91}
{'loss': 2.3935, 'grad_norm': 0.6342825889587402, 'learning_rate': 0.0001763265306122449, 'epoch': 0.93}
{'loss': 1.9441, 'grad_norm': 0.7084243893623352, 'learning_rate': 0.0001759183673469388, 'epoch': 0.94}
{'loss': 1.9579, 'grad_norm': 0.7675839066505432, 'learning_rate': 0.00017551020408163265, 'epoch': 0.95}
{'loss': 2.2734, 'grad_norm': 0.673821747303009, 'learning_rate': 0.00017510204081632653, 'epoch': 0.97}
{'loss': 2.1373, 'grad_norm': 0.7796494364738464, 'learning_rate': 0.00017469387755102042, 'epoch': 0.98}
{'loss': 2.1365, 'grad_norm': 0.6841138601303101, 'learning_rate': 0.0001742857142857143, 'epoch': 0.99}
{'loss': 2.4879, 'grad_norm': 1.3212602138519287, 'learning_rate': 0.00017387755102040816, 'epoch': 1.01}
{'loss': 2.443, 'grad_norm': 0.7170171141624451, 'learning_rate': 0.00017346938775510205, 'epoch': 1.02}
{'loss': 2.1729, 'grad_norm': 0.6923189759254456, 'learning_rate': 0.00017306122448979594, 'epoch': 1.03}
{'loss': 1.5406, 'grad_norm': 0.6673687100410461, 'learning_rate': 0.00017265306122448982, 'epoch': 1.05}
{'loss': 1.8199, 'grad_norm': 0.6479916572570801, 'learning_rate': 0.00017224489795918368, 'epoch': 1.06}
{'loss': 1.9898, 'grad_norm': 0.6159518361091614, 'learning_rate': 0.00017183673469387757, 'epoch': 1.07}
{'loss': 2.412, 'grad_norm': 0.8470073938369751, 'learning_rate': 0.00017142857142857143, 'epoch': 1.09}
{'loss': 1.9305, 'grad_norm': 0.6252061724662781, 'learning_rate': 0.0001710204081632653, 'epoch': 1.1}
{'loss': 2.2836, 'grad_norm': 0.6325615644454956, 'learning_rate': 0.0001706122448979592, 'epoch': 1.12}
{'loss': 1.9453, 'grad_norm': 0.5757195949554443, 'learning_rate': 0.00017020408163265306, 'epoch': 1.13}
{'loss': 2.147, 'grad_norm': 0.6621831059455872, 'learning_rate': 0.00016979591836734694, 'epoch': 1.14}
{'loss': 1.7467, 'grad_norm': 0.6585517525672913, 'learning_rate': 0.00016938775510204083, 'epoch': 1.16}
{'loss': 1.9069, 'grad_norm': 0.7100871205329895, 'learning_rate': 0.0001689795918367347, 'epoch': 1.17}
{'loss': 2.5115, 'grad_norm': 0.7674205303192139, 'learning_rate': 0.00016857142857142857, 'epoch': 1.18}
{'loss': 1.9617, 'grad_norm': 0.747154176235199, 'learning_rate': 0.00016816326530612246, 'epoch': 1.2}
{'loss': 1.6755, 'grad_norm': 0.8887794017791748, 'learning_rate': 0.00016775510204081632, 'epoch': 1.21}
{'loss': 1.4683, 'grad_norm': 0.8383469581604004, 'learning_rate': 0.00016734693877551023, 'epoch': 1.22}
{'loss': 2.0114, 'grad_norm': 0.7941846251487732, 'learning_rate': 0.0001669387755102041, 'epoch': 1.24}
{'loss': 1.9184, 'grad_norm': 0.79856276512146, 'learning_rate': 0.00016653061224489797, 'epoch': 1.25}
{'loss': 2.2283, 'grad_norm': 0.8482592701911926, 'learning_rate': 0.00016612244897959183, 'epoch': 1.27}
{'loss': 1.7037, 'grad_norm': 0.6933315992355347, 'learning_rate': 0.00016571428571428575, 'epoch': 1.28}
{'loss': 2.5556, 'grad_norm': 0.8230108022689819, 'learning_rate': 0.0001653061224489796, 'epoch': 1.29}
{'loss': 1.7276, 'grad_norm': 0.6840342283248901, 'learning_rate': 0.0001648979591836735, 'epoch': 1.31}
{'loss': 1.5386, 'grad_norm': 0.7276020646095276, 'learning_rate': 0.00016448979591836735, 'epoch': 1.32}
{'loss': 2.314, 'grad_norm': 1.0404905080795288, 'learning_rate': 0.00016408163265306124, 'epoch': 1.33}
{'loss': 1.7564, 'grad_norm': 0.8492546081542969, 'learning_rate': 0.00016367346938775512, 'epoch': 1.35}
{'loss': 1.4861, 'grad_norm': 0.8146540522575378, 'learning_rate': 0.00016326530612244898, 'epoch': 1.36}
{'loss': 2.0748, 'grad_norm': 0.9836910367012024, 'learning_rate': 0.00016285714285714287, 'epoch': 1.37}
{'loss': 2.0277, 'grad_norm': 0.9697167277336121, 'learning_rate': 0.00016244897959183672, 'epoch': 1.39}
{'loss': 2.0347, 'grad_norm': 0.9465305209159851, 'learning_rate': 0.0001620408163265306, 'epoch': 1.4}
{'loss': 1.4679, 'grad_norm': 0.7297149300575256, 'learning_rate': 0.0001616326530612245, 'epoch': 1.41}
{'loss': 2.1314, 'grad_norm': 1.104256272315979, 'learning_rate': 0.00016122448979591838, 'epoch': 1.43}
{'loss': 1.6902, 'grad_norm': 1.0811737775802612, 'learning_rate': 0.00016081632653061224, 'epoch': 1.44}
{'loss': 1.6787, 'grad_norm': 0.8778321743011475, 'learning_rate': 0.00016040816326530613, 'epoch': 1.46}
{'loss': 2.4283, 'grad_norm': 1.1362700462341309, 'learning_rate': 0.00016, 'epoch': 1.47}
{'loss': 1.6665, 'grad_norm': 0.847326397895813, 'learning_rate': 0.0001595918367346939, 'epoch': 1.48}
{'loss': 2.2333, 'grad_norm': 0.9891824126243591, 'learning_rate': 0.00015918367346938776, 'epoch': 1.5}
{'loss': 1.5522, 'grad_norm': 0.8029348254203796, 'learning_rate': 0.00015877551020408164, 'epoch': 1.51}
{'loss': 1.7316, 'grad_norm': 0.9049320220947266, 'learning_rate': 0.0001583673469387755, 'epoch': 1.52}
{'loss': 1.7242, 'grad_norm': 0.9104242324829102, 'learning_rate': 0.00015795918367346942, 'epoch': 1.54}
{'loss': 1.9379, 'grad_norm': 0.8978883028030396, 'learning_rate': 0.00015755102040816327, 'epoch': 1.55}
{'loss': 1.8031, 'grad_norm': 0.8569791316986084, 'learning_rate': 0.00015714285714285716, 'epoch': 1.56}
{'loss': 2.5313, 'grad_norm': 1.2095582485198975, 'learning_rate': 0.00015673469387755102, 'epoch': 1.58}
{'loss': 1.8518, 'grad_norm': 1.032869577407837, 'learning_rate': 0.0001563265306122449, 'epoch': 1.59}
{'loss': 1.363, 'grad_norm': 0.8162542581558228, 'learning_rate': 0.0001559183673469388, 'epoch': 1.61}
{'loss': 2.2608, 'grad_norm': 1.2948482036590576, 'learning_rate': 0.00015551020408163265, 'epoch': 1.62}
{'loss': 1.6386, 'grad_norm': 1.0489310026168823, 'learning_rate': 0.00015510204081632654, 'epoch': 1.63}
{'loss': 2.2859, 'grad_norm': 1.1035387516021729, 'learning_rate': 0.0001546938775510204, 'epoch': 1.65}
{'loss': 1.1083, 'grad_norm': 0.7083836197853088, 'learning_rate': 0.0001542857142857143, 'epoch': 1.66}
{'loss': 2.3042, 'grad_norm': 1.0941617488861084, 'learning_rate': 0.00015387755102040817, 'epoch': 1.67}
{'loss': 2.1224, 'grad_norm': 0.9820873737335205, 'learning_rate': 0.00015346938775510205, 'epoch': 1.69}
{'loss': 1.549, 'grad_norm': 0.8696398138999939, 'learning_rate': 0.0001530612244897959, 'epoch': 1.7}
{'loss': 1.919, 'grad_norm': 1.0660256147384644, 'learning_rate': 0.00015265306122448982, 'epoch': 1.71}
{'loss': 2.0892, 'grad_norm': 1.0000914335250854, 'learning_rate': 0.00015224489795918368, 'epoch': 1.73}
{'loss': 1.6564, 'grad_norm': 0.7902353405952454, 'learning_rate': 0.00015183673469387757, 'epoch': 1.74}
{'loss': 1.6679, 'grad_norm': 0.9226784110069275, 'learning_rate': 0.00015142857142857143, 'epoch': 1.76}
{'loss': 2.2489, 'grad_norm': 1.1191197633743286, 'learning_rate': 0.0001510204081632653, 'epoch': 1.77}
{'loss': 2.4236, 'grad_norm': 1.0949361324310303, 'learning_rate': 0.0001506122448979592, 'epoch': 1.78}
{'loss': 1.2574, 'grad_norm': 0.683539092540741, 'learning_rate': 0.00015020408163265306, 'epoch': 1.8}
{'loss': 1.772, 'grad_norm': 0.834950864315033, 'learning_rate': 0.00014979591836734694, 'epoch': 1.81}
{'loss': 1.6416, 'grad_norm': 0.9119819402694702, 'learning_rate': 0.00014938775510204083, 'epoch': 1.82}
{'loss': 2.3061, 'grad_norm': 1.0600979328155518, 'learning_rate': 0.00014897959183673472, 'epoch': 1.84}
{'loss': 2.0245, 'grad_norm': 0.9331220388412476, 'learning_rate': 0.00014857142857142857, 'epoch': 1.85}
{'loss': 1.2928, 'grad_norm': 0.7532448768615723, 'learning_rate': 0.00014816326530612246, 'epoch': 1.86}
{'loss': 2.3151, 'grad_norm': 1.0137767791748047, 'learning_rate': 0.00014775510204081632, 'epoch': 1.88}
{'loss': 1.3675, 'grad_norm': 0.7699353694915771, 'learning_rate': 0.0001473469387755102, 'epoch': 1.89}
{'loss': 2.0495, 'grad_norm': 0.9190444946289062, 'learning_rate': 0.0001469387755102041, 'epoch': 1.9}
{'loss': 2.0042, 'grad_norm': 0.9121907353401184, 'learning_rate': 0.00014653061224489798, 'epoch': 1.92}
{'loss': 2.3806, 'grad_norm': 1.0857505798339844, 'learning_rate': 0.00014612244897959183, 'epoch': 1.93}
{'loss': 1.6342, 'grad_norm': 0.7778716683387756, 'learning_rate': 0.00014571428571428572, 'epoch': 1.95}
{'loss': 1.8554, 'grad_norm': 0.8787572979927063, 'learning_rate': 0.0001453061224489796, 'epoch': 1.96}
{'loss': 1.4554, 'grad_norm': 0.8449399471282959, 'learning_rate': 0.0001448979591836735, 'epoch': 1.97}
{'loss': 1.7169, 'grad_norm': 0.8686556220054626, 'learning_rate': 0.00014448979591836735, 'epoch': 1.99}
{'loss': 2.8453, 'grad_norm': 1.907616138458252, 'learning_rate': 0.00014408163265306124, 'epoch': 2.0}
{'loss': 1.7237, 'grad_norm': 0.8082072734832764, 'learning_rate': 0.0001436734693877551, 'epoch': 2.01}
{'loss': 1.8054, 'grad_norm': 0.914821982383728, 'learning_rate': 0.00014326530612244898, 'epoch': 2.03}
{'loss': 1.4874, 'grad_norm': 0.7581361532211304, 'learning_rate': 0.00014285714285714287, 'epoch': 2.04}
{'loss': 1.7585, 'grad_norm': 0.8257695436477661, 'learning_rate': 0.00014244897959183673, 'epoch': 2.05}
{'loss': 1.6935, 'grad_norm': 0.8812482953071594, 'learning_rate': 0.0001420408163265306, 'epoch': 2.07}
{'loss': 1.568, 'grad_norm': 1.0991145372390747, 'learning_rate': 0.0001416326530612245, 'epoch': 2.08}
{'loss': 1.5878, 'grad_norm': 1.15848708152771, 'learning_rate': 0.00014122448979591838, 'epoch': 2.1}
{'loss': 1.6607, 'grad_norm': 1.333268165588379, 'learning_rate': 0.00014081632653061224, 'epoch': 2.11}
{'loss': 1.7501, 'grad_norm': 0.9813200235366821, 'learning_rate': 0.00014040816326530613, 'epoch': 2.12}
{'loss': 1.386, 'grad_norm': 1.2134406566619873, 'learning_rate': 0.00014, 'epoch': 2.14}
{'loss': 1.5472, 'grad_norm': 1.044622540473938, 'learning_rate': 0.0001395918367346939, 'epoch': 2.15}
{'loss': 1.7167, 'grad_norm': 1.061965823173523, 'learning_rate': 0.00013918367346938776, 'epoch': 2.16}
{'loss': 1.7165, 'grad_norm': 1.1391385793685913, 'learning_rate': 0.00013877551020408165, 'epoch': 2.18}
{'loss': 1.5571, 'grad_norm': 1.086008071899414, 'learning_rate': 0.0001383673469387755, 'epoch': 2.19}
{'loss': 1.4519, 'grad_norm': 1.083080768585205, 'learning_rate': 0.00013795918367346942, 'epoch': 2.2}
{'loss': 1.5561, 'grad_norm': 1.19810152053833, 'learning_rate': 0.00013755102040816328, 'epoch': 2.22}
{'loss': 1.5895, 'grad_norm': 1.009741187095642, 'learning_rate': 0.00013714285714285716, 'epoch': 2.23}
{'loss': 1.4889, 'grad_norm': 1.1244159936904907, 'learning_rate': 0.00013673469387755102, 'epoch': 2.24}
{'loss': 1.567, 'grad_norm': 1.1852338314056396, 'learning_rate': 0.0001363265306122449, 'epoch': 2.26}
{'loss': 1.4753, 'grad_norm': 1.1156898736953735, 'learning_rate': 0.0001359183673469388, 'epoch': 2.27}
{'loss': 1.478, 'grad_norm': 1.2684141397476196, 'learning_rate': 0.00013551020408163265, 'epoch': 2.29}
{'loss': 1.3899, 'grad_norm': 1.1482164859771729, 'learning_rate': 0.00013510204081632654, 'epoch': 2.3}
{'loss': 1.5732, 'grad_norm': 1.1604582071304321, 'learning_rate': 0.0001346938775510204, 'epoch': 2.31}
{'loss': 1.4964, 'grad_norm': 1.1252152919769287, 'learning_rate': 0.00013428571428571428, 'epoch': 2.33}
{'loss': 1.4342, 'grad_norm': 1.5271868705749512, 'learning_rate': 0.00013387755102040817, 'epoch': 2.34}
{'loss': 1.648, 'grad_norm': 1.382341980934143, 'learning_rate': 0.00013346938775510205, 'epoch': 2.35}
{'loss': 1.344, 'grad_norm': 1.4454574584960938, 'learning_rate': 0.0001330612244897959, 'epoch': 2.37}
{'loss': 1.502, 'grad_norm': 1.1547319889068604, 'learning_rate': 0.0001326530612244898, 'epoch': 2.38}
{'loss': 1.4521, 'grad_norm': 1.4309442043304443, 'learning_rate': 0.00013224489795918368, 'epoch': 2.39}
{'loss': 1.4208, 'grad_norm': 1.2989293336868286, 'learning_rate': 0.00013183673469387757, 'epoch': 2.41}
{'loss': 1.4857, 'grad_norm': 1.1454983949661255, 'learning_rate': 0.00013142857142857143, 'epoch': 2.42}
{'loss': 1.6931, 'grad_norm': 1.1684178113937378, 'learning_rate': 0.00013102040816326531, 'epoch': 2.44}
{'loss': 1.6424, 'grad_norm': 1.0670675039291382, 'learning_rate': 0.00013061224489795917, 'epoch': 2.45}
{'loss': 1.2731, 'grad_norm': 1.3994437456130981, 'learning_rate': 0.00013020408163265309, 'epoch': 2.46}
{'loss': 1.6053, 'grad_norm': 1.3529279232025146, 'learning_rate': 0.00012979591836734695, 'epoch': 2.48}
{'loss': 1.471, 'grad_norm': 1.2766435146331787, 'learning_rate': 0.00012938775510204083, 'epoch': 2.49}
{'loss': 1.5441, 'grad_norm': 1.3881301879882812, 'learning_rate': 0.0001289795918367347, 'epoch': 2.5}
{'loss': 1.3939, 'grad_norm': 1.4186077117919922, 'learning_rate': 0.00012857142857142858, 'epoch': 2.52}
{'loss': 1.3969, 'grad_norm': 1.2999991178512573, 'learning_rate': 0.00012816326530612246, 'epoch': 2.53}
{'loss': 1.3775, 'grad_norm': 1.4227428436279297, 'learning_rate': 0.00012775510204081632, 'epoch': 2.54}
{'loss': 1.6855, 'grad_norm': 1.1112861633300781, 'learning_rate': 0.0001273469387755102, 'epoch': 2.56}
{'loss': 1.4582, 'grad_norm': 1.0394330024719238, 'learning_rate': 0.00012693877551020406, 'epoch': 2.57}
{'loss': 1.639, 'grad_norm': 1.0833938121795654, 'learning_rate': 0.00012653061224489798, 'epoch': 2.59}
{'loss': 1.5623, 'grad_norm': 1.1629101037979126, 'learning_rate': 0.00012612244897959184, 'epoch': 2.6}
{'loss': 1.4663, 'grad_norm': 1.2634129524230957, 'learning_rate': 0.00012571428571428572, 'epoch': 2.61}
{'loss': 1.6685, 'grad_norm': 1.1410647630691528, 'learning_rate': 0.00012530612244897958, 'epoch': 2.63}
{'loss': 1.6696, 'grad_norm': 1.2727183103561401, 'learning_rate': 0.0001248979591836735, 'epoch': 2.64}
{'loss': 1.4186, 'grad_norm': 1.5738476514816284, 'learning_rate': 0.00012448979591836735, 'epoch': 2.65}
{'loss': 1.7126, 'grad_norm': 1.1466299295425415, 'learning_rate': 0.00012408163265306124, 'epoch': 2.67}
{'loss': 1.6845, 'grad_norm': 1.2355037927627563, 'learning_rate': 0.0001236734693877551, 'epoch': 2.68}
{'loss': 1.5859, 'grad_norm': 1.2420672178268433, 'learning_rate': 0.00012326530612244898, 'epoch': 2.69}
{'loss': 1.4245, 'grad_norm': 1.486754059791565, 'learning_rate': 0.00012285714285714287, 'epoch': 2.71}
{'loss': 1.3835, 'grad_norm': 1.4252040386199951, 'learning_rate': 0.00012244897959183676, 'epoch': 2.72}
{'loss': 1.8761, 'grad_norm': 1.271210789680481, 'learning_rate': 0.00012204081632653061, 'epoch': 2.73}
{'loss': 1.602, 'grad_norm': 1.138633131980896, 'learning_rate': 0.00012163265306122449, 'epoch': 2.75}
{'loss': 1.7648, 'grad_norm': 1.1917965412139893, 'learning_rate': 0.00012122448979591839, 'epoch': 2.76}
{'loss': 1.7026, 'grad_norm': 1.15824294090271, 'learning_rate': 0.00012081632653061226, 'epoch': 2.78}
{'loss': 1.694, 'grad_norm': 1.3267451524734497, 'learning_rate': 0.00012040816326530613, 'epoch': 2.79}
{'loss': 1.5119, 'grad_norm': 1.271204948425293, 'learning_rate': 0.00012, 'epoch': 2.8}
{'loss': 1.4319, 'grad_norm': 1.0991146564483643, 'learning_rate': 0.00011959183673469388, 'epoch': 2.82}
{'loss': 1.6414, 'grad_norm': 1.2768410444259644, 'learning_rate': 0.00011918367346938777, 'epoch': 2.83}
{'loss': 1.446, 'grad_norm': 1.239438772201538, 'learning_rate': 0.00011877551020408165, 'epoch': 2.84}
{'loss': 1.5299, 'grad_norm': 1.2672598361968994, 'learning_rate': 0.00011836734693877552, 'epoch': 2.86}
{'loss': 1.629, 'grad_norm': 1.1260098218917847, 'learning_rate': 0.00011795918367346939, 'epoch': 2.87}
{'loss': 1.5337, 'grad_norm': 1.1556200981140137, 'learning_rate': 0.00011755102040816328, 'epoch': 2.88}
{'loss': 1.5876, 'grad_norm': 1.2625724077224731, 'learning_rate': 0.00011714285714285715, 'epoch': 2.9}
{'loss': 1.7451, 'grad_norm': 0.9759897589683533, 'learning_rate': 0.00011673469387755102, 'epoch': 2.91}
{'loss': 1.4879, 'grad_norm': 1.4184359312057495, 'learning_rate': 0.0001163265306122449, 'epoch': 2.93}
{'loss': 1.6778, 'grad_norm': 1.2989877462387085, 'learning_rate': 0.00011591836734693877, 'epoch': 2.94}
{'loss': 1.6898, 'grad_norm': 1.0440418720245361, 'learning_rate': 0.00011551020408163267, 'epoch': 2.95}
{'loss': 1.5016, 'grad_norm': 1.3598397970199585, 'learning_rate': 0.00011510204081632654, 'epoch': 2.97}
{'loss': 1.5373, 'grad_norm': 1.1955965757369995, 'learning_rate': 0.00011469387755102041, 'epoch': 2.98}
{'loss': 1.5855, 'grad_norm': 1.2505992650985718, 'learning_rate': 0.00011428571428571428, 'epoch': 2.99}
{'loss': 2.0779, 'grad_norm': 1.7933512926101685, 'learning_rate': 0.00011387755102040818, 'epoch': 3.01}
{'loss': 1.2191, 'grad_norm': 1.2580360174179077, 'learning_rate': 0.00011346938775510206, 'epoch': 3.02}
{'loss': 1.5598, 'grad_norm': 1.3474924564361572, 'learning_rate': 0.00011306122448979593, 'epoch': 3.03}
{'loss': 1.0451, 'grad_norm': 1.2670363187789917, 'learning_rate': 0.0001126530612244898, 'epoch': 3.05}
{'loss': 1.326, 'grad_norm': 1.3020505905151367, 'learning_rate': 0.00011224489795918367, 'epoch': 3.06}
{'loss': 1.3168, 'grad_norm': 1.5510542392730713, 'learning_rate': 0.00011183673469387757, 'epoch': 3.07}
{'loss': 0.9227, 'grad_norm': 1.1436225175857544, 'learning_rate': 0.00011142857142857144, 'epoch': 3.09}
{'loss': 1.4542, 'grad_norm': 1.4180830717086792, 'learning_rate': 0.00011102040816326532, 'epoch': 3.1}
{'loss': 0.9962, 'grad_norm': 1.397284984588623, 'learning_rate': 0.00011061224489795919, 'epoch': 3.12}
{'loss': 1.6628, 'grad_norm': 1.9375674724578857, 'learning_rate': 0.00011020408163265306, 'epoch': 3.13}
{'loss': 1.2436, 'grad_norm': 2.0049946308135986, 'learning_rate': 0.00010979591836734695, 'epoch': 3.14}
{'loss': 1.0688, 'grad_norm': 1.6281208992004395, 'learning_rate': 0.00010938775510204082, 'epoch': 3.16}
{'loss': 1.2024, 'grad_norm': 1.428765058517456, 'learning_rate': 0.00010897959183673469, 'epoch': 3.17}
{'loss': 0.9391, 'grad_norm': 1.3166919946670532, 'learning_rate': 0.00010857142857142856, 'epoch': 3.18}
