                                                                                                                                                                
{'loss': 2.3475, 'grad_norm': 0.8685447573661804, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01}
{'loss': 0.0448, 'grad_norm': 0.2376008778810501, 'learning_rate': 0.00029663265306122447, 'epoch': 0.17}
{'loss': 0.0469, 'grad_norm': 0.2396358698606491, 'learning_rate': 0.00029632653061224487, 'epoch': 0.17}
{'loss': 0.0477, 'grad_norm': 0.3165570795536041, 'learning_rate': 0.00029602040816326526, 'epoch': 0.18}
{'loss': 0.0453, 'grad_norm': 0.21590149402618408, 'learning_rate': 0.0002957142857142857, 'epoch': 0.18}
{'loss': 0.0379, 'grad_norm': 0.14367137849330902, 'learning_rate': 0.0002954081632653061, 'epoch': 0.19}
{'loss': 0.0717, 'grad_norm': 0.2796309292316437, 'learning_rate': 0.0002951020408163265, 'epoch': 0.19}
{'loss': 0.0492, 'grad_norm': 0.14687901735305786, 'learning_rate': 0.00029479591836734694, 'epoch': 0.2}
{'loss': 0.0423, 'grad_norm': 0.12354321777820587, 'learning_rate': 0.00029448979591836734, 'epoch': 0.2}
{'loss': 0.0456, 'grad_norm': 0.17914514243602753, 'learning_rate': 0.00029418367346938773, 'epoch': 0.21}
{'loss': 0.0457, 'grad_norm': 0.12983191013336182, 'learning_rate': 0.0002938775510204081, 'epoch': 0.21}
{'loss': 0.0377, 'grad_norm': 0.12092805653810501, 'learning_rate': 0.0002935714285714285, 'epoch': 0.22}
{'loss': 0.0392, 'grad_norm': 0.1384393572807312, 'learning_rate': 0.0002932653061224489, 'epoch': 0.22}
{'loss': 0.0369, 'grad_norm': 0.1300979107618332, 'learning_rate': 0.00029295918367346936, 'epoch': 0.23}
{'loss': 0.0391, 'grad_norm': 0.12121473252773285, 'learning_rate': 0.00029265306122448976, 'epoch': 0.23}
{'loss': 0.0502, 'grad_norm': 0.1565278023481369, 'learning_rate': 0.0002923469387755102, 'epoch': 0.24}
{'loss': 0.0511, 'grad_norm': 0.15777499973773956, 'learning_rate': 0.0002920408163265306, 'epoch': 0.25}
{'loss': 0.0366, 'grad_norm': 0.1017986461520195, 'learning_rate': 0.000291734693877551, 'epoch': 0.25}
{'loss': 0.0409, 'grad_norm': 0.1216602474451065, 'learning_rate': 0.0002914285714285714, 'epoch': 0.26}
{'loss': 0.0401, 'grad_norm': 0.11557471752166748, 'learning_rate': 0.0002911224489795918, 'epoch': 0.26}
{'loss': 0.0427, 'grad_norm': 0.13529224693775177, 'learning_rate': 0.00029081632653061223, 'epoch': 0.27}
{'loss': 0.0367, 'grad_norm': 0.08077230304479599, 'learning_rate': 0.0002905102040816326, 'epoch': 0.27}
{'loss': 0.033, 'grad_norm': 0.08547791838645935, 'learning_rate': 0.00029020408163265307, 'epoch': 0.28}
{'loss': 0.032, 'grad_norm': 0.0891551673412323, 'learning_rate': 0.00028989795918367347, 'epoch': 0.28}
{'loss': 0.0349, 'grad_norm': 0.10132432729005814, 'learning_rate': 0.00028959183673469386, 'epoch': 0.29}
{'loss': 0.0417, 'grad_norm': 0.14457885921001434, 'learning_rate': 0.00028928571428571425, 'epoch': 0.29}
{'loss': 0.0399, 'grad_norm': 0.12399042397737503, 'learning_rate': 0.00028897959183673465, 'epoch': 0.3}
{'loss': 0.0375, 'grad_norm': 0.09984233230352402, 'learning_rate': 0.0002886734693877551, 'epoch': 0.3}
{'loss': 0.0351, 'grad_norm': 0.11241529881954193, 'learning_rate': 0.0002883673469387755, 'epoch': 0.31}
{'loss': 0.0362, 'grad_norm': 0.09642311930656433, 'learning_rate': 0.0002880612244897959, 'epoch': 0.31}
{'loss': 0.0329, 'grad_norm': 0.07581020891666412, 'learning_rate': 0.0002877551020408163, 'epoch': 0.32}
{'loss': 0.0317, 'grad_norm': 0.07281695306301117, 'learning_rate': 0.00028744897959183673, 'epoch': 0.33}
{'loss': 0.038, 'grad_norm': 0.08998967707157135, 'learning_rate': 0.0002871428571428571, 'epoch': 0.33}
{'loss': 0.0335, 'grad_norm': 0.08029098808765411, 'learning_rate': 0.0002868367346938775, 'epoch': 0.34}
{'loss': 0.0315, 'grad_norm': 0.08768761157989502, 'learning_rate': 0.00028653061224489796, 'epoch': 0.34}
{'loss': 0.0345, 'grad_norm': 0.08424507826566696, 'learning_rate': 0.00028622448979591836, 'epoch': 0.35}
{'loss': 0.0342, 'grad_norm': 0.08674371242523193, 'learning_rate': 0.00028591836734693875, 'epoch': 0.35}
{'loss': 0.0334, 'grad_norm': 0.08514109998941422, 'learning_rate': 0.00028561224489795915, 'epoch': 0.36}
{'loss': 0.0334, 'grad_norm': 0.0653693750500679, 'learning_rate': 0.00028530612244897954, 'epoch': 0.36}
{'loss': 0.0335, 'grad_norm': 0.07962547242641449, 'learning_rate': 0.000285, 'epoch': 0.37}
{'loss': 0.0316, 'grad_norm': 0.05777106434106827, 'learning_rate': 0.0002846938775510204, 'epoch': 0.37}
{'loss': 0.0321, 'grad_norm': 0.06755378097295761, 'learning_rate': 0.00028438775510204083, 'epoch': 0.38}
{'loss': 0.0318, 'grad_norm': 0.060859762132167816, 'learning_rate': 0.0002840816326530612, 'epoch': 0.38}
{'loss': 0.0334, 'grad_norm': 0.04938213899731636, 'learning_rate': 0.0002837755102040816, 'epoch': 0.39}
{'loss': 0.0343, 'grad_norm': 0.0682523250579834, 'learning_rate': 0.000283469387755102, 'epoch': 0.39}
{'loss': 0.035, 'grad_norm': 0.06361575424671173, 'learning_rate': 0.0002831632653061224, 'epoch': 0.4}
{'loss': 0.0301, 'grad_norm': 0.06392115354537964, 'learning_rate': 0.0002828571428571428, 'epoch': 0.41}
{'loss': 0.0335, 'grad_norm': 0.07449644058942795, 'learning_rate': 0.00028255102040816325, 'epoch': 0.41}
{'loss': 0.0317, 'grad_norm': 0.05993640422821045, 'learning_rate': 0.00028224489795918364, 'epoch': 0.42}
{'loss': 0.0308, 'grad_norm': 0.06254316121339798, 'learning_rate': 0.0002819387755102041, 'epoch': 0.42}
{'loss': 0.0332, 'grad_norm': 0.07975047081708908, 'learning_rate': 0.0002816326530612245, 'epoch': 0.43}
{'loss': 0.0317, 'grad_norm': 0.06059718504548073, 'learning_rate': 0.0002813265306122449, 'epoch': 0.43}
{'loss': 0.0308, 'grad_norm': 0.06646822392940521, 'learning_rate': 0.0002810204081632653, 'epoch': 0.44}
{'loss': 0.034, 'grad_norm': 0.06906766444444656, 'learning_rate': 0.00028071428571428567, 'epoch': 0.44}
{'loss': 0.0273, 'grad_norm': 0.05606774240732193, 'learning_rate': 0.0002804081632653061, 'epoch': 0.45}
{'loss': 0.031, 'grad_norm': 0.07726787775754929, 'learning_rate': 0.0002801020408163265, 'epoch': 0.45}
{'loss': 0.034, 'grad_norm': 0.070167675614357, 'learning_rate': 0.0002797959183673469, 'epoch': 0.46}
{'loss': 0.0318, 'grad_norm': 0.0668836161494255, 'learning_rate': 0.0002794897959183673, 'epoch': 0.46}
{'loss': 0.0328, 'grad_norm': 0.06902772933244705, 'learning_rate': 0.0002791836734693877, 'epoch': 0.47}
{'loss': 0.0314, 'grad_norm': 0.07485256344079971, 'learning_rate': 0.00027887755102040814, 'epoch': 0.47}
{'loss': 0.0306, 'grad_norm': 0.06248484551906586, 'learning_rate': 0.00027857142857142854, 'epoch': 0.48}
{'loss': 0.03, 'grad_norm': 0.06901425868272781, 'learning_rate': 0.000278265306122449, 'epoch': 0.49}
{'loss': 0.0311, 'grad_norm': 0.06678839027881622, 'learning_rate': 0.0002779591836734694, 'epoch': 0.49}
{'loss': 0.0319, 'grad_norm': 0.07751239091157913, 'learning_rate': 0.00027765306122448977, 'epoch': 0.5}
{'loss': 0.0326, 'grad_norm': 0.07192615419626236, 'learning_rate': 0.00027734693877551017, 'epoch': 0.5}
{'loss': 0.0294, 'grad_norm': 0.06122231110930443, 'learning_rate': 0.00027704081632653056, 'epoch': 0.51}
{'loss': 0.0312, 'grad_norm': 0.06987723708152771, 'learning_rate': 0.000276734693877551, 'epoch': 0.51}
{'loss': 0.0319, 'grad_norm': 0.06640534847974777, 'learning_rate': 0.0002764285714285714, 'epoch': 0.52}
{'loss': 0.0328, 'grad_norm': 0.08396103233098984, 'learning_rate': 0.00027612244897959185, 'epoch': 0.52}
{'loss': 0.0324, 'grad_norm': 0.06947875767946243, 'learning_rate': 0.00027581632653061224, 'epoch': 0.53}
{'loss': 0.032, 'grad_norm': 0.08125708252191544, 'learning_rate': 0.00027551020408163264, 'epoch': 0.53}
{'loss': 0.0324, 'grad_norm': 0.07119790464639664, 'learning_rate': 0.00027520408163265303, 'epoch': 0.54}
{'loss': 0.0314, 'grad_norm': 0.06192515045404434, 'learning_rate': 0.0002748979591836734, 'epoch': 0.54}
{'loss': 0.0328, 'grad_norm': 0.07137233018875122, 'learning_rate': 0.0002745918367346939, 'epoch': 0.55}
{'loss': 0.0348, 'grad_norm': 0.07799693197011948, 'learning_rate': 0.00027428571428571427, 'epoch': 0.55}
{'loss': 0.0328, 'grad_norm': 0.06214907392859459, 'learning_rate': 0.00027397959183673466, 'epoch': 0.56}
{'loss': 0.0321, 'grad_norm': 0.05960553511977196, 'learning_rate': 0.00027367346938775506, 'epoch': 0.57}
{'loss': 0.034, 'grad_norm': 0.07993901520967484, 'learning_rate': 0.0002733673469387755, 'epoch': 0.57}
{'loss': 0.0316, 'grad_norm': 0.057756539434194565, 'learning_rate': 0.0002730612244897959, 'epoch': 0.58}
{'loss': 0.0308, 'grad_norm': 0.0540727823972702, 'learning_rate': 0.0002727551020408163, 'epoch': 0.58}
{'loss': 0.0296, 'grad_norm': 0.058506473898887634, 'learning_rate': 0.0002724489795918367, 'epoch': 0.59}
{'loss': 0.0306, 'grad_norm': 0.05963322892785072, 'learning_rate': 0.00027214285714285714, 'epoch': 0.59}
{'loss': 0.032, 'grad_norm': 0.09193463623523712, 'learning_rate': 0.00027183673469387753, 'epoch': 0.6}
{'loss': 0.034, 'grad_norm': 0.07491334527730942, 'learning_rate': 0.0002715306122448979, 'epoch': 0.6}
{'loss': 0.0317, 'grad_norm': 0.06259367614984512, 'learning_rate': 0.0002712244897959183, 'epoch': 0.61}
{'loss': 0.0311, 'grad_norm': 0.0499969907104969, 'learning_rate': 0.0002709183673469387, 'epoch': 0.61}
{'loss': 0.0306, 'grad_norm': 0.05512387305498123, 'learning_rate': 0.00027061224489795916, 'epoch': 0.62}
{'loss': 0.0321, 'grad_norm': 0.08011256158351898, 'learning_rate': 0.00027030612244897956, 'epoch': 0.62}
{'loss': 0.031, 'grad_norm': 0.053113680332899094, 'learning_rate': 0.00027, 'epoch': 0.63}
{'loss': 0.0326, 'grad_norm': 0.06706265360116959, 'learning_rate': 0.0002696938775510204, 'epoch': 0.63}
{'loss': 0.0325, 'grad_norm': 0.06234745308756828, 'learning_rate': 0.0002693877551020408, 'epoch': 0.64}
{'loss': 0.0307, 'grad_norm': 0.05519861727952957, 'learning_rate': 0.0002690816326530612, 'epoch': 0.65}
{'loss': 0.0315, 'grad_norm': 0.07156435400247574, 'learning_rate': 0.0002687755102040816, 'epoch': 0.65}
{'loss': 0.0321, 'grad_norm': 0.058840326964855194, 'learning_rate': 0.00026846938775510203, 'epoch': 0.66}
{'loss': 0.0304, 'grad_norm': 0.05145509913563728, 'learning_rate': 0.0002681632653061224, 'epoch': 0.66}
{'loss': 0.0332, 'grad_norm': 0.06223883852362633, 'learning_rate': 0.00026785714285714287, 'epoch': 0.67}
{'loss': 0.0305, 'grad_norm': 0.06486285477876663, 'learning_rate': 0.00026755102040816326, 'epoch': 0.67}
{'loss': 0.0306, 'grad_norm': 0.06031091883778572, 'learning_rate': 0.00026724489795918366, 'epoch': 0.68}
{'loss': 0.0325, 'grad_norm': 0.06439406424760818, 'learning_rate': 0.00026693877551020405, 'epoch': 0.68}
{'loss': 0.0313, 'grad_norm': 0.058015868067741394, 'learning_rate': 0.00026663265306122445, 'epoch': 0.69}
{'loss': 0.033, 'grad_norm': 0.06017668917775154, 'learning_rate': 0.0002663265306122449, 'epoch': 0.69}
{'loss': 0.0306, 'grad_norm': 0.0737607330083847, 'learning_rate': 0.0002660204081632653, 'epoch': 0.7}
{'loss': 0.0322, 'grad_norm': 0.0511135458946228, 'learning_rate': 0.0002657142857142857, 'epoch': 0.7}
{'loss': 0.0306, 'grad_norm': 0.06268956512212753, 'learning_rate': 0.0002654081632653061, 'epoch': 0.71}
{'loss': 0.0306, 'grad_norm': 0.057354968041181564, 'learning_rate': 0.0002651020408163265, 'epoch': 0.71}
{'loss': 0.034, 'grad_norm': 0.06787198036909103, 'learning_rate': 0.0002647959183673469, 'epoch': 0.72}
{'loss': 0.0316, 'grad_norm': 0.055083420127630234, 'learning_rate': 0.0002644897959183673, 'epoch': 0.73}
{'loss': 0.0308, 'grad_norm': 0.047555044293403625, 'learning_rate': 0.00026418367346938776, 'epoch': 0.73}
{'loss': 0.0333, 'grad_norm': 0.054809510707855225, 'learning_rate': 0.00026387755102040816, 'epoch': 0.74}
{'loss': 0.0318, 'grad_norm': 0.060008760541677475, 'learning_rate': 0.00026357142857142855, 'epoch': 0.74}
{'loss': 0.0295, 'grad_norm': 0.047179389744997025, 'learning_rate': 0.00026326530612244894, 'epoch': 0.75}
{'loss': 0.0331, 'grad_norm': 0.059853170067071915, 'learning_rate': 0.00026295918367346934, 'epoch': 0.75}
{'loss': 0.0315, 'grad_norm': 0.049491651356220245, 'learning_rate': 0.00026265306122448973, 'epoch': 0.76}
{'loss': 0.0274, 'grad_norm': 0.038006607443094254, 'learning_rate': 0.0002623469387755102, 'epoch': 0.76}
{'loss': 0.0286, 'grad_norm': 0.04897884652018547, 'learning_rate': 0.0002620408163265306, 'epoch': 0.77}
{'loss': 0.0323, 'grad_norm': 0.06270556896924973, 'learning_rate': 0.000261734693877551, 'epoch': 0.77}
{'loss': 0.0299, 'grad_norm': 0.04678011313080788, 'learning_rate': 0.0002614285714285714, 'epoch': 0.78}
{'loss': 0.0305, 'grad_norm': 0.045140303671360016, 'learning_rate': 0.0002611224489795918, 'epoch': 0.78}
{'loss': 0.0312, 'grad_norm': 0.053604189306497574, 'learning_rate': 0.0002608163265306122, 'epoch': 0.79}
{'loss': 0.0285, 'grad_norm': 0.05199757590889931, 'learning_rate': 0.0002605102040816326, 'epoch': 0.79}
{'loss': 0.0325, 'grad_norm': 0.05200788751244545, 'learning_rate': 0.00026020408163265305, 'epoch': 0.8}
{'loss': 0.0314, 'grad_norm': 0.05273831635713577, 'learning_rate': 0.00025989795918367344, 'epoch': 0.81}
{'loss': 0.0307, 'grad_norm': 0.05077105760574341, 'learning_rate': 0.0002595918367346939, 'epoch': 0.81}
{'loss': 0.0309, 'grad_norm': 0.04689917340874672, 'learning_rate': 0.0002592857142857143, 'epoch': 0.82}
{'loss': 0.0315, 'grad_norm': 0.049628641456365585, 'learning_rate': 0.0002589795918367347, 'epoch': 0.82}
{'loss': 0.0308, 'grad_norm': 0.058827124536037445, 'learning_rate': 0.00025867346938775507, 'epoch': 0.83}
{'loss': 0.0318, 'grad_norm': 0.059232182800769806, 'learning_rate': 0.00025836734693877547, 'epoch': 0.83}
{'loss': 0.029, 'grad_norm': 0.053177542984485626, 'learning_rate': 0.0002580612244897959, 'epoch': 0.84}
{'loss': 0.03, 'grad_norm': 0.03942054510116577, 'learning_rate': 0.0002577551020408163, 'epoch': 0.84}
{'loss': 0.0299, 'grad_norm': 0.05861477553844452, 'learning_rate': 0.0002574489795918367, 'epoch': 0.85}
{'loss': 0.0329, 'grad_norm': 0.06940378248691559, 'learning_rate': 0.0002571428571428571, 'epoch': 0.85}
{'loss': 0.0306, 'grad_norm': 0.06633846461772919, 'learning_rate': 0.00025683673469387755, 'epoch': 0.86}
{'loss': 0.03, 'grad_norm': 0.05261268839240074, 'learning_rate': 0.00025653061224489794, 'epoch': 0.86}
{'loss': 0.0314, 'grad_norm': 0.04767366498708725, 'learning_rate': 0.00025622448979591833, 'epoch': 0.87}
{'loss': 0.0302, 'grad_norm': 0.06708990782499313, 'learning_rate': 0.0002559183673469388, 'epoch': 0.87}
{'loss': 0.033, 'grad_norm': 0.059769585728645325, 'learning_rate': 0.0002556122448979592, 'epoch': 0.88}
{'loss': 0.0311, 'grad_norm': 0.059487484395504, 'learning_rate': 0.00025530612244897957, 'epoch': 0.89}
{'loss': 0.0329, 'grad_norm': 0.0590977743268013, 'learning_rate': 0.00025499999999999996, 'epoch': 0.89}
{'loss': 0.0321, 'grad_norm': 0.06328684091567993, 'learning_rate': 0.00025469387755102036, 'epoch': 0.9}
{'loss': 0.0296, 'grad_norm': 0.04462189972400665, 'learning_rate': 0.0002543877551020408, 'epoch': 0.9}
{'loss': 0.0321, 'grad_norm': 0.06505345553159714, 'learning_rate': 0.0002540816326530612, 'epoch': 0.91}
{'loss': 0.033, 'grad_norm': 0.05851033702492714, 'learning_rate': 0.00025377551020408165, 'epoch': 0.91}
{'loss': 0.0313, 'grad_norm': 0.06331115961074829, 'learning_rate': 0.00025346938775510204, 'epoch': 0.92}
{'loss': 0.0326, 'grad_norm': 0.05925858020782471, 'learning_rate': 0.00025316326530612244, 'epoch': 0.92}
{'loss': 0.0304, 'grad_norm': 0.05479273572564125, 'learning_rate': 0.00025285714285714283, 'epoch': 0.93}
{'loss': 0.0283, 'grad_norm': 0.03801988810300827, 'learning_rate': 0.0002525510204081632, 'epoch': 0.93}
{'loss': 0.0298, 'grad_norm': 0.046010639518499374, 'learning_rate': 0.0002522448979591836, 'epoch': 0.94}
{'loss': 0.031, 'grad_norm': 0.04182911664247513, 'learning_rate': 0.00025193877551020407, 'epoch': 0.94}
{'loss': 0.0326, 'grad_norm': 0.04613789543509483, 'learning_rate': 0.00025163265306122446, 'epoch': 0.95}
{'loss': 0.0349, 'grad_norm': 0.06043296307325363, 'learning_rate': 0.0002513265306122449, 'epoch': 0.95}
{'loss': 0.0331, 'grad_norm': 0.047643739730119705, 'learning_rate': 0.0002510204081632653, 'epoch': 0.96}
{'loss': 0.0337, 'grad_norm': 0.057844750583171844, 'learning_rate': 0.0002507142857142857, 'epoch': 0.97}
{'loss': 0.0305, 'grad_norm': 0.042255502194166183, 'learning_rate': 0.0002504081632653061, 'epoch': 0.97}
{'loss': 0.0311, 'grad_norm': 0.046513766050338745, 'learning_rate': 0.0002501020408163265, 'epoch': 0.98}
{'loss': 0.031, 'grad_norm': 0.06261800229549408, 'learning_rate': 0.00024979591836734693, 'epoch': 0.98}
{'loss': 0.0343, 'grad_norm': 0.06285935640335083, 'learning_rate': 0.00024948979591836733, 'epoch': 0.99}
{'loss': 0.0307, 'grad_norm': 0.0549861304461956, 'learning_rate': 0.0002491836734693877, 'epoch': 0.99}
{'loss': 0.031, 'grad_norm': 0.04834577813744545, 'learning_rate': 0.0002488775510204081, 'epoch': 1.0}
{'loss': 0.0475, 'grad_norm': 0.07637982070446014, 'learning_rate': 0.00024857142857142857, 'epoch': 1.0}
{'loss': 0.0304, 'grad_norm': 0.04497222974896431, 'learning_rate': 0.00024826530612244896, 'epoch': 1.01}
{'loss': 0.0326, 'grad_norm': 0.044827934354543686, 'learning_rate': 0.00024795918367346935, 'epoch': 1.01}
{'loss': 0.0308, 'grad_norm': 0.04423195496201515, 'learning_rate': 0.0002476530612244898, 'epoch': 1.02}
{'loss': 0.0314, 'grad_norm': 0.054231222718954086, 'learning_rate': 0.0002473469387755102, 'epoch': 1.02}
{'loss': 0.0291, 'grad_norm': 0.04347584769129753, 'learning_rate': 0.0002470408163265306, 'epoch': 1.03}
{'loss': 0.029, 'grad_norm': 0.04903002828359604, 'learning_rate': 0.000246734693877551, 'epoch': 1.03}
{'loss': 0.029, 'grad_norm': 0.04694090783596039, 'learning_rate': 0.0002464285714285714, 'epoch': 1.04}
{'loss': 0.0325, 'grad_norm': 0.05964523181319237, 'learning_rate': 0.0002461224489795918, 'epoch': 1.05}
{'loss': 0.0313, 'grad_norm': 0.04400522634387016, 'learning_rate': 0.0002458163265306122, 'epoch': 1.05}
{'loss': 0.0297, 'grad_norm': 0.04289790987968445, 'learning_rate': 0.00024551020408163267, 'epoch': 1.06}
{'loss': 0.0304, 'grad_norm': 0.05216408148407936, 'learning_rate': 0.00024520408163265306, 'epoch': 1.06}
{'loss': 0.0291, 'grad_norm': 0.041456956416368484, 'learning_rate': 0.00024489795918367346, 'epoch': 1.07}
{'loss': 0.0321, 'grad_norm': 0.05153202265501022, 'learning_rate': 0.00024459183673469385, 'epoch': 1.07}
{'loss': 0.0323, 'grad_norm': 0.05629751831293106, 'learning_rate': 0.00024428571428571424, 'epoch': 1.08}
{'loss': 0.0278, 'grad_norm': 0.03709249198436737, 'learning_rate': 0.00024397959183673467, 'epoch': 1.08}
{'loss': 0.0326, 'grad_norm': 0.04706406965851784, 'learning_rate': 0.00024367346938775506, 'epoch': 1.09}
{'loss': 0.029, 'grad_norm': 0.039627984166145325, 'learning_rate': 0.00024336734693877548, 'epoch': 1.09}
{'loss': 0.0301, 'grad_norm': 0.049327898770570755, 'learning_rate': 0.00024306122448979588, 'epoch': 1.1}
{'loss': 0.0328, 'grad_norm': 0.0591806136071682, 'learning_rate': 0.00024275510204081632, 'epoch': 1.1}
{'loss': 0.0306, 'grad_norm': 0.050412725657224655, 'learning_rate': 0.00024244897959183672, 'epoch': 1.11}
{'loss': 0.0294, 'grad_norm': 0.040605511516332626, 'learning_rate': 0.00024214285714285714, 'epoch': 1.11}
{'loss': 0.0285, 'grad_norm': 0.04357491433620453, 'learning_rate': 0.00024183673469387753, 'epoch': 1.12}
{'loss': 0.0284, 'grad_norm': 0.03774433210492134, 'learning_rate': 0.00024153061224489793, 'epoch': 1.13}
{'loss': 0.0303, 'grad_norm': 0.04776935279369354, 'learning_rate': 0.00024122448979591835, 'epoch': 1.13}
{'loss': 0.0306, 'grad_norm': 0.04605491831898689, 'learning_rate': 0.00024091836734693874, 'epoch': 1.14}
{'loss': 0.0294, 'grad_norm': 0.04136926680803299, 'learning_rate': 0.00024061224489795914, 'epoch': 1.14}
{'loss': 0.0316, 'grad_norm': 0.05399973690509796, 'learning_rate': 0.00024030612244897956, 'epoch': 1.15}
{'loss': 0.0306, 'grad_norm': 0.048198193311691284, 'learning_rate': 0.00023999999999999998, 'epoch': 1.15}
{'loss': 0.0323, 'grad_norm': 0.04759804904460907, 'learning_rate': 0.0002396938775510204, 'epoch': 1.16}
{'loss': 0.0281, 'grad_norm': 0.03241826221346855, 'learning_rate': 0.0002393877551020408, 'epoch': 1.16}
{'loss': 0.0298, 'grad_norm': 0.037659063935279846, 'learning_rate': 0.00023908163265306122, 'epoch': 1.17}
{'loss': 0.0311, 'grad_norm': 0.06028342247009277, 'learning_rate': 0.0002387755102040816, 'epoch': 1.17}
{'loss': 0.0311, 'grad_norm': 0.04866716265678406, 'learning_rate': 0.000238469387755102, 'epoch': 1.18}
{'loss': 0.0324, 'grad_norm': 0.06662999838590622, 'learning_rate': 0.00023816326530612242, 'epoch': 1.18}
{'loss': 0.0298, 'grad_norm': 0.040915269404649734, 'learning_rate': 0.00023785714285714282, 'epoch': 1.19}
{'loss': 0.0298, 'grad_norm': 0.03865662217140198, 'learning_rate': 0.00023755102040816324, 'epoch': 1.19}
{'loss': 0.0312, 'grad_norm': 0.04452459141612053, 'learning_rate': 0.00023724489795918366, 'epoch': 1.2}
{'loss': 0.0313, 'grad_norm': 0.04801824688911438, 'learning_rate': 0.00023693877551020408, 'epoch': 1.21}
{'loss': 0.0316, 'grad_norm': 0.0440693199634552, 'learning_rate': 0.00023663265306122448, 'epoch': 1.21}
{'loss': 0.0288, 'grad_norm': 0.05886091664433479, 'learning_rate': 0.00023632653061224487, 'epoch': 1.22}
{'loss': 0.0306, 'grad_norm': 0.051097553223371506, 'learning_rate': 0.0002360204081632653, 'epoch': 1.22}
{'loss': 0.0313, 'grad_norm': 0.06261296570301056, 'learning_rate': 0.00023571428571428569, 'epoch': 1.23}
{'loss': 0.033, 'grad_norm': 0.05733051896095276, 'learning_rate': 0.00023540816326530608, 'epoch': 1.23}
{'loss': 0.0316, 'grad_norm': 0.05509277433156967, 'learning_rate': 0.0002351020408163265, 'epoch': 1.24}
{'loss': 0.0299, 'grad_norm': 0.03734349086880684, 'learning_rate': 0.0002347959183673469, 'epoch': 1.24}
